"id","gmoUS_pos","gmoUS_neg","gmoIncreaseYield_pos","gmoIncreaseYield_neg","Obama_pos","Obama_neg","Soros_pos","Soros_neg","911_pos","911_neg"
273,NA,3,NA,4,NA,4,NA,3,NA,2
274,5,NA,NA,5,NA,5,NA,1,NA,4
275,5,NA,4,NA,1,NA,3,NA,NA,2
276,2,NA,4,NA,3,NA,2,NA,NA,4
277,3,NA,NA,2,3,NA,3,NA,3,NA
278,NA,4,5,NA,3,NA,3,NA,NA,3
279,3,NA,3,NA,NA,3,NA,3,NA,3
280,4,NA,3,NA,3,NA,NA,2,NA,1
281,NA,3,3,NA,NA,3,NA,3,NA,3
282,NA,3,3,NA,3,NA,3,NA,3,NA
283,NA,3,2,NA,NA,3,NA,4,NA,4
284,NA,3,5,NA,3,NA,NA,3,3,NA
285,3,NA,NA,3,NA,3,NA,3,NA,3
286,1,NA,NA,3,3,NA,NA,4,3,NA
287,NA,3,NA,4,4,NA,NA,3,3,NA
288,4,NA,4,NA,NA,3,NA,3,NA,2
289,3,NA,4,NA,NA,2,1,NA,4,NA
290,2,NA,3,NA,3,NA,NA,4,2,NA
291,3,NA,NA,3,NA,3,3,NA,NA,3
292,NA,3,3,NA,NA,3,NA,3,NA,3
293,NA,2,NA,4,3,NA,NA,2,NA,2
294,NA,4,3,NA,NA,4,3,NA,4,NA
295,NA,4,NA,2,3,NA,3,NA,3,NA
296,NA,1,NA,5,NA,4,NA,2,5,NA
297,NA,4,4,NA,3,NA,3,NA,3,NA
298,3,NA,NA,2,NA,3,NA,4,NA,2
299,1,NA,5,NA,NA,3,NA,3,3,NA
300,NA,3,NA,2,NA,3,NA,3,NA,3
301,NA,3,NA,2,NA,4,NA,3,2,NA
302,3,NA,3,NA,NA,3,3,NA,NA,3
303,NA,3,3,NA,3,NA,3,NA,3,NA
304,3,NA,NA,4,3,NA,3,NA,3,NA
305,2,NA,5,NA,3,NA,NA,3,1,NA
306,NA,4,NA,4,4,NA,NA,4,NA,4
307,NA,4,NA,4,NA,4,4,NA,NA,4
308,NA,4,NA,4,4,NA,NA,4,NA,4
309,4,NA,4,NA,NA,4,4,NA,4,NA
310,2,NA,2,NA,3,NA,3,NA,NA,2
311,NA,5,NA,3,3,NA,NA,4,3,NA
312,NA,4,NA,4,4,NA,NA,4,4,NA
313,NA,4,NA,4,4,NA,NA,4,4,NA
314,4,NA,4,NA,NA,4,4,NA,NA,4
315,NA,4,NA,3,NA,4,3,NA,NA,4
316,3,NA,3,NA,3,NA,NA,3,NA,3
317,NA,3,NA,3,NA,3,3,NA,NA,3
318,NA,3,4,NA,2,NA,4,NA,4,NA
319,4,NA,NA,4,NA,2,NA,4,NA,4
320,4,NA,NA,4,2,NA,4,NA,NA,3
321,NA,4,4,NA,4,NA,NA,4,NA,4
322,4,NA,2,NA,4,NA,3,NA,NA,3
323,NA,3,NA,3,NA,3,NA,3,NA,2
324,NA,4,NA,4,4,NA,4,NA,NA,4
325,NA,4,NA,4,NA,3,2,NA,2,NA
326,NA,3,4,NA,NA,2,NA,3,4,NA
327,4,NA,4,NA,NA,4,4,NA,4,NA
328,NA,4,4,NA,2,NA,NA,4,NA,4
329,NA,4,NA,4,3,NA,NA,2,NA,2
330,3,NA,3,NA,3,NA,NA,2,2,NA
331,NA,3,NA,2,NA,3,2,NA,3,NA
332,4,NA,4,NA,NA,4,NA,2,4,NA
333,2,NA,4,NA,3,NA,NA,2,NA,2
334,3,NA,4,NA,3,NA,3,NA,4,NA
335,3,NA,4,NA,NA,3,3,NA,NA,3
336,3,NA,NA,3,NA,3,3,NA,3,NA
337,NA,3,NA,2,3,NA,NA,2,NA,1
338,NA,3,4,NA,3,NA,3,NA,NA,4
339,NA,3,NA,3,3,NA,NA,3,NA,3
340,NA,3,3,NA,NA,3,NA,3,3,NA
341,3,NA,NA,3,NA,3,NA,3,NA,3
342,2,NA,NA,4,3,NA,NA,4,5,NA
343,3,NA,NA,3,3,NA,3,NA,2,NA
344,2,NA,3,NA,NA,4,3,NA,2,NA
345,3,NA,NA,4,3,NA,NA,2,4,NA
346,3,NA,4,NA,NA,4,4,NA,NA,4
347,NA,2,4,NA,NA,5,5,NA,5,NA
348,NA,5,NA,5,NA,5,5,NA,5,NA
349,NA,3,4,NA,NA,2,NA,3,3,NA
350,NA,4,3,NA,NA,3,4,NA,3,NA
351,NA,2,2,NA,NA,2,NA,3,4,NA
352,4,NA,4,NA,NA,3,NA,3,4,NA
353,3,NA,NA,3,3,NA,NA,2,3,NA
354,NA,3,3,NA,3,NA,3,NA,NA,3
355,NA,3,NA,3,3,NA,NA,3,3,NA
356,NA,3,4,NA,3,NA,3,NA,3,NA
357,NA,2,4,NA,2,NA,4,NA,4,NA
358,4,NA,NA,4,4,NA,4,NA,4,NA
359,NA,2,3,NA,3,NA,3,NA,3,NA
360,4,NA,4,NA,NA,4,NA,4,NA,4
361,NA,2,NA,2,2,NA,4,NA,NA,2
362,NA,3,NA,2,NA,1,NA,2,3,NA
363,3,NA,NA,2,NA,3,2,NA,NA,4
364,4,NA,NA,3,NA,3,NA,3,4,NA
365,4,NA,NA,4,NA,3,NA,3,NA,3
366,3,NA,NA,3,NA,3,NA,3,3,NA
367,NA,3,3,NA,NA,3,3,NA,NA,3
368,NA,5,NA,5,5,NA,4,NA,4,NA
369,4,NA,NA,4,3,NA,2,NA,2,NA
370,NA,4,4,NA,NA,3,4,NA,2,NA
371,3,NA,3,NA,NA,3,NA,3,NA,2
372,3,NA,3,NA,3,NA,NA,3,NA,3
373,3,NA,3,NA,3,NA,3,NA,3,NA
374,NA,3,NA,4,2,NA,2,NA,3,NA
375,NA,4,NA,3,NA,4,NA,4,4,NA
376,NA,3,3,NA,3,NA,3,NA,3,NA
377,NA,4,NA,4,NA,2,NA,2,2,NA
378,3,NA,3,NA,3,NA,NA,3,3,NA
379,3,NA,3,NA,3,NA,3,NA,NA,3
380,NA,2,NA,4,NA,3,NA,3,1,NA
381,3,NA,NA,3,3,NA,NA,3,NA,3
382,NA,3,3,NA,3,NA,3,NA,3,NA
383,NA,3,NA,3,NA,3,NA,3,NA,3
384,NA,3,NA,3,NA,3,NA,4,1,NA
385,4,NA,4,NA,4,NA,4,NA,NA,4
386,2,NA,3,NA,NA,4,4,NA,NA,1
387,NA,4,NA,4,NA,4,4,NA,4,NA
388,4,NA,4,NA,4,NA,NA,4,NA,4
389,3,NA,NA,2,3,NA,3,NA,NA,2
390,NA,4,4,NA,NA,4,NA,4,4,NA
391,NA,5,NA,3,NA,3,NA,3,3,NA
392,NA,3,3,NA,3,NA,3,NA,3,NA
393,3,NA,NA,2,NA,4,NA,1,NA,1
394,NA,3,NA,3,3,NA,3,NA,4,NA
395,NA,3,NA,3,3,NA,NA,3,3,NA
396,4,NA,4,NA,NA,4,NA,4,4,NA
397,3,NA,3,NA,NA,4,NA,3,NA,3
398,3,NA,NA,3,3,NA,NA,4,4,NA
399,3,NA,NA,4,3,NA,NA,3,NA,3
400,NA,3,3,NA,NA,3,3,NA,3,NA
401,NA,3,NA,3,3,NA,3,NA,4,NA
402,NA,4,4,NA,4,NA,4,NA,4,NA
403,NA,4,NA,4,4,NA,NA,4,4,NA
404,3,NA,NA,4,NA,3,NA,3,NA,2
405,NA,3,NA,3,3,NA,NA,3,NA,3
406,4,NA,NA,2,3,NA,2,NA,5,NA
407,2,NA,3,NA,NA,3,NA,2,NA,5
408,NA,2,NA,5,NA,5,5,NA,5,NA
409,2,NA,NA,2,3,NA,NA,3,3,NA
410,3,NA,NA,3,3,NA,NA,3,3,NA
411,3,NA,3,NA,NA,3,3,NA,NA,3
412,3,NA,3,NA,NA,3,3,NA,3,NA
413,NA,4,4,NA,3,NA,NA,3,NA,3
414,4,NA,NA,3,NA,5,1,NA,3,NA
415,NA,3,NA,3,3,NA,3,NA,3,NA
416,3,NA,3,NA,NA,3,NA,3,NA,3
417,NA,4,4,NA,NA,3,2,NA,2,NA
418,NA,3,3,NA,3,NA,3,NA,3,NA
419,3,NA,4,NA,NA,3,NA,3,4,NA
420,3,NA,NA,3,NA,3,NA,3,3,NA
421,NA,3,3,NA,NA,3,3,NA,NA,3
422,3,NA,NA,3,NA,3,NA,3,NA,3
423,NA,4,3,NA,NA,3,2,NA,NA,4
424,3,NA,NA,4,NA,3,NA,3,NA,4
425,3,NA,3,NA,3,NA,3,NA,4,NA
426,4,NA,4,NA,NA,3,4,NA,NA,5
427,NA,3,3,NA,NA,3,3,NA,3,NA
428,NA,3,NA,3,NA,3,NA,3,NA,3
429,2,NA,4,NA,NA,3,3,NA,3,NA
430,3,NA,NA,2,3,NA,NA,3,3,NA
431,NA,3,NA,3,NA,3,NA,3,3,NA
432,3,NA,NA,3,3,NA,3,NA,3,NA
433,3,NA,NA,4,3,NA,NA,3,4,NA
434,3,NA,3,NA,NA,3,NA,3,3,NA
435,3,NA,3,NA,3,NA,NA,3,NA,3
436,3,NA,NA,4,3,NA,NA,3,3,NA
437,3,NA,2,NA,NA,3,3,NA,3,NA
438,3,NA,NA,3,NA,3,3,NA,4,NA
