"id","gmoUS_pos","gmoUS_neg","gmoIncreaseYield_pos","gmoIncreaseYield_neg","Obama_pos","Obama_neg","Soros_pos","Soros_neg","911_pos","911_neg"
1014,4,NA,NA,3,3,NA,3,NA,NA,4
1015,NA,3,3,NA,3,NA,NA,4,NA,3
1016,3,NA,NA,3,NA,3,1,NA,1,NA
1017,NA,5,5,NA,NA,1,1,NA,NA,4
1018,2,NA,NA,2,NA,3,3,NA,NA,3
1019,NA,4,NA,4,NA,4,NA,4,NA,4
1020,NA,4,NA,4,NA,4,1,NA,NA,1
1021,NA,3,4,NA,4,NA,NA,3,3,NA
1022,NA,1,NA,3,3,NA,1,NA,NA,2
1023,2,NA,NA,2,NA,3,3,NA,NA,3
1024,NA,1,1,NA,3,NA,3,NA,4,NA
1025,NA,4,NA,3,4,NA,NA,4,5,NA
1026,NA,3,3,NA,3,NA,3,NA,3,NA
1027,NA,4,4,NA,NA,3,4,NA,3,NA
1028,NA,4,4,NA,NA,4,1,NA,3,NA
1029,NA,3,4,NA,NA,4,3,NA,NA,5
1030,3,NA,NA,4,3,NA,4,NA,3,NA
1031,4,NA,3,NA,NA,2,NA,3,NA,2
1032,1,NA,NA,3,3,NA,NA,2,NA,3
1033,NA,3,NA,3,NA,2,4,NA,NA,3
1034,NA,4,NA,3,3,NA,3,NA,NA,3
1035,NA,4,NA,2,NA,3,NA,2,NA,3
1036,NA,3,3,NA,3,NA,NA,3,NA,3
1037,NA,3,NA,3,3,NA,4,NA,4,NA
1038,NA,4,1,NA,3,NA,NA,2,NA,2
1039,1,NA,NA,3,NA,3,2,NA,NA,5
1040,NA,4,2,NA,1,NA,NA,1,NA,5
1041,3,NA,4,NA,3,NA,NA,4,NA,3
1042,3,NA,NA,4,3,NA,NA,3,NA,3
1043,NA,4,3,NA,4,NA,3,NA,NA,4
1044,4,NA,NA,3,NA,3,NA,3,3,NA
1045,3,NA,4,NA,NA,3,3,NA,NA,3
1046,NA,3,NA,2,NA,4,4,NA,NA,3
1047,2,NA,3,NA,NA,3,2,NA,1,NA
1048,NA,5,5,NA,5,NA,NA,5,5,NA
1049,3,NA,NA,4,NA,4,NA,5,NA,4
1050,3,NA,NA,4,4,NA,3,NA,NA,4
1051,NA,1,1,NA,NA,1,3,NA,5,NA
1052,3,NA,NA,3,NA,3,3,NA,3,NA
1053,NA,5,5,NA,5,NA,5,NA,4,NA
1054,NA,4,NA,2,NA,3,1,NA,NA,2
1055,NA,5,4,NA,NA,3,3,NA,3,NA
1056,3,NA,2,NA,3,NA,NA,3,3,NA
1057,5,NA,5,NA,4,NA,5,NA,5,NA
1058,NA,3,NA,3,NA,1,NA,3,NA,3
